-0.39265,1.7909,8.5617,0.13733,0.16845,-0.014661,-17.1,-28.26,-32.46
-0.3735,1.8675,8.4946,0.14833,0.16967,-0.045204,-17.1,-28.26,-32.46
-0.42138,1.9441,8.4372,0.11167,0.16112,-0.024435,-17.04,-28.14,-32.52
-0.47884,1.9824,8.3701,0.12145,0.13546,-0.06353,-16.74,-28.26,-32.64
-0.50757,1.9632,8.3127,0.12756,0.10492,-0.061087,-16.08,-28.38,-32.88
-0.52672,1.9345,8.2552,0.12389,0.098807,-0.067195,-16.14,-28.38,-32.94
-0.51715,1.9632,8.2265,0.083574,0.084147,-0.052534,-15.72,-28.56,-33
-0.5363,2.0207,8.2648,0.083574,0.084147,-0.052534,-15.36,-28.68,-33
-0.55545,1.9824,8.2935,-0.030047,0.091477,-0.054978,-15.12,-28.92,-33.6
-0.55545,2.0016,8.3222,-0.031269,0.096364,-0.058643,-15.12,-29.28,-33.42
-0.57461,2.0016,8.3318,-0.052038,0.096364,-0.059865,-15.12,-29.28,-33.42
-0.56503,1.9537,8.4372,-0.054482,0.078038,-0.039095,-15.06,-29.52,-33.36
-0.55545,1.9154,8.4467,-0.063034,0.071929,-0.042761,-15.06,-29.58,-33.24
-0.54588,1.9345,8.4755,-0.061812,0.075595,-0.030543,-14.88,-29.88,-33.42
-0.54588,1.9537,8.4851,-0.077694,0.032834,-0.012217,-15.06,-29.7,-33.24
-0.54588,2.0016,8.4659,-0.085025,0.04383,0.0024435,-15.06,-29.7,-33.48
-0.56503,2.0782,8.4276,-0.078916,0.085368,0.0024435,-15.3,-29.52,-32.88
-0.60334,2.1069,8.4084,-0.05326,0.12202,0.0281,-15,-29.4,-32.88
-0.61292,2.1452,8.3893,-0.05326,0.12202,0.0281,-14.82,-29.1,-33.06
-0.64165,2.2218,8.3222,-0.056925,0.15012,0.025656,-14.94,-29.1,-32.88
-0.60334,2.2505,8.3606,-0.021495,0.15012,0.010996,-15.3,-28.92,-33
-0.59376,2.2793,8.4372,-0.026382,0.12324,0.0073304,-15.36,-28.86,-32.94
