-0.249	1.561	6.0334	0.087086	-0.60739	0.57009	21.9	-7.56	-33.36
-0.15323	1.6855	6.0142	0.10908	-0.50965	0.57498	21.78	-8.04	-33.54
-0.10534	1.7526	6.1196	0.098082	-0.4168	0.58475	21.72	-8.4	-33.42
-0.13408	1.7813	6.3782	0.084643	-0.2873	0.5933	21.72	-8.7	-33.6
-0.20111	1.6855	6.6942	0.052878	-0.22743	0.5762	21.42	-8.82	-33.36
-0.35434	1.5802	7.0868	-0.038752	-0.10282	0.56765	21.42	-9.18	-33.66
-0.51715	1.5227	7.4986	-0.094951	-0.018517	0.55176	21.24	-9.54	-33.78
-0.63207	1.4461	7.8721	-0.12549	0.024244	0.52244	20.94	-9.42	-33.42
-0.81403	1.4269	8.2744	-0.14626	0.05723	0.48335	20.88	-9.42	-33.36
-0.95768	1.4269	8.6287	-0.12672	0.056009	0.47602	20.88	-9.42	-33.36
-0.95768	1.4078	8.9256	-0.092508	0.0083612	0.4357	20.58	-9.42	-33.3
-0.92895	1.3216	9.1075	-0.099838	-0.074716	0.43448	20.46	-9.24	-33.3
-0.89064	1.2067	9.1842	-0.050969	-0.1077	0.41493	20.46	-9.18	-33.3
-0.80445	1.0822	9.1363	-0.014317	-0.22988	0.35873	20.28	-9.18	-33
-0.64165	0.99599	9.0501	0.0088957	-0.33006	0.29642	20.28	-9.12	-32.88
-0.5363	0.97683	8.9543	0.066317	-0.39848	0.2109	20.22	-9.12	-32.94
-0.46926	1.0151	8.849	0.13107	-0.42169	0.14615	20.4	-9.06	-33.18
-0.43096	1.0726	8.7436	0.13107	-0.42169	0.14615	20.4	-9.06	-33.18
-0.48842	1.2067	8.6479	0.13107	-0.42169	0.14615	20.4	-9.06	-33.18
-0.49799	1.3791	8.6	0.45727	-0.41314	-0.043219	20.46	-9.18	-32.82
-0.45969	1.561	8.5904	0.50492	-0.34594	-0.066432	20.04	-9.48	-32.46
-0.47884	1.6568	8.6383	0.50492	-0.34594	-0.066432	20.04	-9.48	-32.46
-0.63207	1.6472	8.7819	0.50492	-0.34594	-0.066432	20.04	-9.48	-32.46
-0.70868	1.5419	9.1363	0.50492	-0.34594	-0.066432	20.04	-9.48	-32.46
-0.79487	1.3886	9.5864	0.58311	-0.082047	0.083841	19.38	-10.08	-31.92
-0.96726	1.2641	9.9503	0.57211	-0.028291	0.1266	19.2	-10.44	-31.68
-0.99599	1.3024	10.439	0.58311	0.01447	0.14248	18.78	-10.5	-31.5
-1.0726	1.5514	10.764	0.566	-0.019739	0.11561	18.36	-10.8	-31.26
-1.0151	1.8962	10.803	0.52813	-0.14558	0.093615	18.18	-11.16	-31.2
-0.83318	2.2314	10.755	0.41695	-0.26164	0.042302	18.36	-11.46	-31.08
-0.62249	2.3942	10.87	0.21903	-0.49133	0.096059	18.36	-11.58	-31.32
-0.32561	2.2027	11.08	-0.091286	-0.71612	0.19258	18.24	-11.64	-31.32
0.057461	1.3599	11.368	-0.47247	-0.83219	0.34896	18.06	-11.76	-31.2
0.33519	0.057461	11.808	-0.85242	-0.86029	0.57253	17.34	-11.88	-30.96
0.42138	-1.3312	11.981	-0.85242	-0.86029	0.57253	17.34	-11.88	-30.96
0.31603	-2.3463	12.115	-0.94039	-0.52309	0.83887	17.16	-11.76	-30.96
0.086191	-2.7773	11.904	-0.75713	-0.25798	0.8181	16.92	-11.7	-30.96
-0.13408	-2.6719	11.349	-0.21468	-0.12236	0.59086	16.38	-11.58	-30.66
-0.36392	-1.8771	10.487	0.40962	0.024244	0.22923	15.96	-11.28	-30.48
-0.22027	-0.43096	9.9982	0.89099	-0.030734	-0.12019	15.6	-11.1	-30.18
-0.038307	0.77572	9.6151	1.095	-0.1468	-0.26191	15.6	-10.86	-30.06
-0.038307	1.3982	9.1937	1.095	-0.1468	-0.26191	15.6	-10.86	-30.06
-0.076614	1.5993	8.8969	1.095	-0.1468	-0.26191	15.6	-10.86	-30.06
-0.11492	1.3408	8.7724	1.095	-0.1468	-0.26191	15.6	-10.86	-30.06
-0.20111	0.76614	8.7245	0.27768	-0.18956	0.29154	15.42	-11.1	-29.82
-0.33519	0.13408	8.6766	0.060208	-0.13825	0.46258	15.6	-11.16	-30
-0.52672	-0.249	8.6287	-0.026534	-0.012408	0.57253	15.6	-11.16	-30
-0.70868	-0.40223	8.5425	0.058987	0.10243	0.64706	15.6	-11.52	-29.88
-0.84276	-0.45969	8.6287	0.18605	0.17452	0.62507	15.54	-11.82	-29.4
